[2024-08-07 17:12:15,049]:[apk install faild, reason is adb: error: failed to get feature set: no devices/emulators found
!]
[2024-08-07 17:12:30,385]:[apk install success!]
[2024-08-07 17:17:53,551]:[apk install success!]
[2024-08-09 19:16:23,163]:[apk install success!]
[2024-08-09 19:16:48,846]:[apk install success!]
[2024-08-09 19:18:32,223]:[apk install success!]
[2024-08-09 19:19:58,305]:[apk install success!]
[2024-08-09 19:20:08,628]:[apk install success!]
[2024-08-09 20:01:18,188]:[apk install success!]
[2024-08-10 16:59:35,638]:[apk install success!]
[2024-08-10 17:01:44,500]:[apk install success!]
[2024-08-10 17:07:52,522]:[apk install success!]
[2024-08-10 17:13:08,814]:[apk install success!]
[2024-08-10 17:15:59,867]:[apk install success!]
[2024-12-23 15:05:19,925]:[mechine num is 9DIVJZG6L7CEYXFY]
[2024-12-23 15:06:54,071]:[mechine num is 9DIVJZG6L7CEYXFY]
[2024-12-23 15:08:32,866]:[mechine num is 9DIVJZG6L7CEYXFY]
[2024-12-23 15:09:10,999]:[mechine num is 9DIVJZG6L7CEYXFY]
[2024-12-23 15:09:52,166]:[mechine num is 9DIVJZG6L7CEYXFY]
[2024-12-23 15:10:29,682]:[mechine num is 9DIVJZG6L7CEYXFY]
[2024-12-23 15:11:53,433]:[mechine num is 9DIVJZG6L7CEYXFY]
